age,job,marital,education,balance,housing,loan,month,duration,campaign,pdays,previous,poutcome,deposit
59,0,1,1,2343,1,0,8,1042,1,-1,0,3,1
56,0,1,1,45,0,0,8,1467,1,-1,0,3,1
41,9,1,1,1270,1,0,8,1389,1,-1,0,3,1
55,7,1,1,2476,1,0,8,579,1,-1,0,3,1
54,0,1,2,184,0,0,8,673,2,-1,0,3,1
42,4,2,2,0,1,1,8,562,2,-1,0,3,1
56,4,1,2,830,1,1,8,1201,1,-1,0,3,1
60,5,0,1,545,1,0,8,1030,1,-1,0,3,1
37,9,1,1,1,1,0,8,608,1,-1,0,3,1
28,7,2,1,5090,1,0,8,1297,3,-1,0,3,1
38,0,2,1,100,1,0,8,786,1,-1,0,3,1
30,1,1,1,309,1,0,8,1574,2,-1,0,3,1
29,4,1,2,199,1,1,8,1689,4,-1,0,3,1
46,1,2,2,460,1,0,8,1102,2,-1,0,3,1
31,9,2,2,703,1,0,8,943,2,-1,0,3,1
35,4,0,2,3837,1,0,8,1084,1,-1,0,3,1
32,1,2,0,611,1,0,8,541,3,-1,0,3,1
49,7,1,1,-8,1,0,8,1119,1,-1,0,3,1
41,0,1,1,55,1,0,8,1120,2,-1,0,3,1
49,0,0,1,168,1,1,8,513,1,-1,0,3,1
28,0,0,1,785,1,0,8,442,2,-1,0,3,1
43,4,2,2,2067,1,0,8,756,1,-1,0,3,1
43,4,0,2,388,1,0,8,2087,2,-1,0,3,1
43,1,1,0,-192,1,0,8,1120,2,-1,0,3,1
37,10,2,1,381,1,0,8,985,2,-1,0,3,1
35,1,2,1,40,1,0,8,617,4,-1,0,3,1
31,9,2,2,22,1,0,8,483,3,-1,0,3,1
43,1,2,1,3,1,0,8,929,3,-1,0,3,1
31,0,1,1,307,1,0,8,538,1,-1,0,3,1
28,1,2,1,759,1,0,8,710,1,-1,0,3,1
32,1,1,1,-1,1,0,8,653,1,-1,0,3,1
60,9,1,0,65,1,0,8,1028,2,-1,0,3,1
26,1,2,1,82,1,0,8,654,1,-1,0,3,1
40,1,1,1,10,1,0,8,1692,2,-1,0,3,1
33,1,0,0,390,1,0,8,665,2,-1,0,3,1
32,4,2,2,311,0,0,8,757,2,-1,0,3,1
35,1,1,0,414,0,0,8,504,4,-1,0,3,1
33,4,0,1,5,1,0,8,1346,1,-1,0,3,1
38,4,1,2,119,1,0,8,568,4,-1,0,3,1
23,2,2,0,4,1,0,8,395,2,-1,0,3,1
60,1,1,0,1262,1,1,8,1015,1,-1,0,3,1
48,4,1,2,1949,1,0,8,683,2,-1,0,3,1
45,2,0,2,-395,1,0,8,470,1,-1,0,3,1
36,1,1,1,1165,1,0,8,1001,4,-1,0,3,1
52,4,1,3,2240,1,0,8,845,1,-1,0,3,1
35,1,0,0,300,1,0,8,945,2,-1,0,3,1
43,9,1,1,3285,1,0,8,1721,2,-1,0,3,1
52,3,1,1,3923,1,0,8,942,3,-1,0,3,1
53,9,0,0,1443,1,0,8,476,1,-1,0,3,1
48,1,0,0,24,1,0,8,832,1,-1,0,3,1
41,1,2,0,1618,1,0,8,1553,1,-1,0,3,1
39,4,0,2,517,1,1,8,1328,1,-1,0,3,1
59,5,1,1,1521,1,1,8,1125,2,-1,0,3,1
41,1,1,1,2823,1,0,8,858,1,-1,0,3,1
48,1,1,1,1405,1,0,8,629,2,-1,0,3,1
40,0,1,1,1535,1,0,8,704,1,-1,0,3,1
48,1,1,1,1596,1,0,8,760,1,-1,0,3,1
60,5,1,0,1542,1,0,8,930,1,-1,0,3,1
40,9,2,3,3652,1,0,8,1028,2,-1,0,3,1
57,9,1,2,-1,0,0,8,850,2,-1,0,3,1
51,1,1,1,7180,1,0,8,927,1,-1,0,3,1
41,1,0,1,5291,1,0,8,1423,3,-1,0,3,1
41,1,1,1,1384,1,0,8,1162,4,-1,0,3,1
52,1,0,0,-191,1,0,8,755,1,-1,0,3,1
59,1,1,0,320,1,0,8,695,1,-1,0,3,1
44,1,1,3,146,1,0,8,483,1,-1,0,3,1
49,11,1,0,341,1,1,8,520,2,-1,0,3,1
40,7,1,0,-9,1,0,8,920,2,-1,0,3,1
41,0,1,0,-306,1,0,8,500,1,-1,0,3,1
44,9,1,2,4580,1,0,8,911,2,-1,0,3,1
60,7,2,0,313,1,0,8,920,2,-1,0,3,1
29,4,1,2,10576,0,0,8,1224,2,-1,0,3,1
41,5,0,0,-233,1,0,8,1156,2,-1,0,3,1
41,1,1,0,2453,1,0,8,1052,1,-1,0,3,1
42,9,2,1,1364,1,0,8,1867,6,-1,0,3,1
36,7,2,3,281,1,0,8,515,1,-1,0,3,1
39,9,1,2,94,1,1,8,813,1,-1,0,3,1
31,6,2,2,144,1,0,8,676,1,-1,0,3,1
26,1,1,1,246,1,0,8,1143,3,-1,0,3,1
31,1,1,1,92,1,0,8,688,1,-1,0,3,1
29,0,2,1,163,1,1,8,803,1,-1,0,3,1
37,7,0,1,49,1,0,8,619,2,-1,0,3,1
33,1,2,1,-416,1,0,8,767,2,-1,0,3,1
24,9,2,1,409,1,0,8,912,1,-1,0,3,1
50,0,0,1,363,1,0,8,1340,1,-1,0,3,1
27,9,2,2,3706,1,0,8,897,1,-1,0,3,1
54,4,2,2,4393,1,0,8,1297,3,-1,0,3,1
30,9,2,1,863,1,0,8,1193,5,-1,0,3,1
34,1,1,0,695,1,1,8,1064,4,-1,0,3,1
37,4,2,1,792,1,0,8,1187,4,-1,0,3,1
41,0,2,1,1020,1,0,8,882,1,-1,0,3,1
47,1,1,1,863,1,0,8,943,2,-1,0,3,1
31,0,1,1,97,1,0,8,607,1,-1,0,3,1
31,1,1,1,754,1,0,8,1022,4,-1,0,3,1
43,7,0,1,1040,1,0,8,552,3,-1,0,3,1
37,4,0,2,122,1,0,8,1622,2,-1,0,3,1
30,9,2,2,880,1,1,8,967,6,-1,0,3,1
41,9,1,1,501,1,0,8,579,5,-1,0,3,1
36,1,1,1,4438,1,0,8,446,1,-1,0,3,1
35,1,0,1,0,1,0,8,1205,1,-1,0,3,1
29,7,2,1,271,1,0,8,1882,2,-1,0,3,1
35,1,1,0,102,1,0,8,1334,1,-1,0,3,1
31,1,1,1,2,1,0,8,182,2,-1,0,3,1
35,7,1,1,4170,1,0,8,1777,1,-1,0,3,1
34,9,2,1,85,1,0,8,1182,4,-1,0,3,1
31,0,2,1,431,1,1,8,1045,1,-1,0,3,1
44,9,0,1,982,1,0,8,650,3,-1,0,3,1
36,1,1,0,408,1,1,8,1063,2,-1,0,3,1
35,1,1,3,4822,1,0,8,843,2,-1,0,3,1
41,1,1,0,1250,1,0,8,1392,2,-1,0,3,1
31,1,2,0,216,1,0,8,565,1,-1,0,3,1
34,1,1,1,1207,1,0,8,905,1,-1,0,3,1
32,9,1,1,791,1,0,8,783,2,-1,0,3,1
36,4,1,2,849,1,1,8,958,2,-1,0,3,1
